index,path,category,dimensions,alpha_expected,generation_method,source_master_reference,validation_result,visual_qa_result,final_sha256,status
1,assets/ui_assets/brand/app_icon.png,brand,256x256,True,protected-logo-technical-variant,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(256, 256);alpha=True",PASS_BUILDER_SOURCE_REVIEW,3919f614bf810762411481a48c1f7e8f3ff24d6f94d2d3f2f57ae03fd5f4de84,PASS
2,assets/ui_assets/brand/brand_badge_small.png,brand,128x128,True,protected-logo-technical-variant,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(128, 128);alpha=True",PASS_BUILDER_SOURCE_REVIEW,48af490f8f4ff539c08c04eecc30ec3aa147b3b7b968d99420c2fa15328c149d,PASS
3,assets/ui_assets/brand/brand_wordmark_small.png,brand,360x150,True,protected-logo-technical-variant,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(360, 150);alpha=True",PASS_BUILDER_SOURCE_REVIEW,31a96884c60cd9df9bcbe771061fbbaf3e1ecfb67588de22e4331cfb200e3d8e,PASS
4,assets/ui_assets/brand/legal_logo_mark.png,brand,220x220,True,protected-logo-technical-variant,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(220, 220);alpha=True",PASS_BUILDER_SOURCE_REVIEW,6f67d487f74cf3ee9031f1b238b06af7ec627d7f99c01dc8c4a63719f36c01ea,PASS
5,assets/ui_assets/brand/logo_beach_cocktails_merge.png,brand,253x512,True,protected-preserved,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(253, 512);alpha=True",PASS_BUILDER_SOURCE_REVIEW,b8b828ff49288e80dc9e6ca62eca95173bceac3db5b8217765d9970158160b42,PASS
6,assets/ui_assets/brand/splash_logo.png,brand,220x220,True,protected-logo-technical-variant,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(220, 220);alpha=True",PASS_BUILDER_SOURCE_REVIEW,6f67d487f74cf3ee9031f1b238b06af7ec627d7f99c01dc8c4a63719f36c01ea,PASS
7,assets/ui_assets/campaign/island_map/finale_crown.png,campaign/island_map,320x180,True,AI-UI-atlas-crop,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(320, 180);alpha=True",PASS_BUILDER_SOURCE_REVIEW,8cb67d7221c5117e903bc56433da9e8fdace6cbb1b073eb73fda3f3048b9e129,PASS
8,assets/ui_assets/campaign/island_map/island_summary_panel.png,campaign/island_map,440x190,True,AI-UI-atlas-crop,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(440, 190);alpha=True",PASS_BUILDER_SOURCE_REVIEW,ae3c70a0d5a3ff498ff8d540ec05537498f1dfb885a8e78d359ac7fe28f00885,PASS
9,assets/ui_assets/campaign/island_map/level_connector.png,campaign/island_map,520x36,True,AI-effects-atlas-crop,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(520, 36);alpha=True",PASS_BUILDER_SOURCE_REVIEW,e267796d3a81891c02768be4bc60054cf2d29006c92f8602c27d6d3774dc5c77,PASS
10,assets/ui_assets/campaign/island_map/level_connector_complete.png,campaign/island_map,520x36,True,AI-effects-atlas-crop,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(520, 36);alpha=True",PASS_BUILDER_SOURCE_REVIEW,e267796d3a81891c02768be4bc60054cf2d29006c92f8602c27d6d3774dc5c77,PASS
11,assets/ui_assets/campaign/island_map/level_node_completed.png,campaign/island_map,320x180,True,AI-UI-atlas-crop,V04 master / V05 AI source atlas / protected owner asset,"decode=PASS;size=(320, 180);alpha=True",PASS_BUILDER_SOURCE_REVIEW,3c4a9cb2af1c958034ac34e3b839ebe22a46b9e3d567cc8e42f6e48008106d8f,PASS
